Date,Value
2018-01-31,1296.0
2017-12-31,1296.0
2017-11-30,1298.0
2017-10-31,1297.0
2017-09-30,1281.0
2017-08-31,1259.0
2017-07-31,1240.0
2017-06-30,1232.0
2017-05-31,1226.0
2017-04-30,1222.0
2017-03-31,1226.0
2017-02-28,1238.0
2017-01-31,1256.0
2016-12-31,1276.0
2016-11-30,1295.0
2016-10-31,1303.0
2016-09-30,1297.0
2016-08-31,1288.0
2016-07-31,1282.0
2016-06-30,1282.0
2016-05-31,1279.0
2016-04-30,1262.0
2016-03-31,1259.0
2016-02-29,1264.0
2016-01-31,1281.0
